Lead Owner,Interest Level,Lead Location(Auto),Creation Source,Marketing Source,is_india_location,days_since_next_activity,next_activity_hour,Days_Since_Update,Update_Hour,Update_DayOfWeek,hour_of_day,day_of_week,is_student,creation_source_encoded
15,0,Unknown,0,29,0,-1.0,-1.0,1043,19,6,22,2,0,0
19,1,Unknown,0,42,0,-1.0,0.0,967,16,6,1,6,1,0
4,1,Unknown,0,4,0,66.0,18.0,1078,10,0,1,5,0,0
21,0,IN,0,22,0,-1.0,-1.0,985,11,2,18,1,0,0
4,0,Unknown,0,19,0,-1.0,-1.0,1102,16,4,22,6,0,0
20,1,Unknown,0,42,0,-1.0,-1.0,1008,16,0,19,3,0,0
9,0,Unknown,0,19,0,185.0,0.0,874,16,1,0,4,0,0
2,0,DE,0,4,0,-1.0,-1.0,1159,19,2,21,4,0,0
19,1,Unknown,0,42,0,-1.0,-1.0,1114,12,6,18,3,0,0
20,1,India,0,42,1,-1.0,-1.0,890,14,6,23,3,0,0
20,1,Unknown,0,42,0,9.0,11.0,1033,19,2,21,1,0,0
12,1,Unknown,0,42,0,4.0,0.0,1199,7,5,2,0,0,0
4,0,Unknown,0,0,0,1.0,0.0,1321,14,2,23,1,0,0
17,1,Unknown,0,22,0,4.0,19.0,993,16,1,11,5,0,0
1,1,Unknown,0,42,0,0.0,0.0,1087,6,5,20,4,1,0
15,0,Unknown,0,30,0,-1.0,-1.0,1066,12,5,18,1,0,0
19,1,Unknown,0,42,0,0.0,0.0,860,9,1,11,6,0,0
19,1,Unknown,0,42,0,0.0,0.0,892,17,4,15,3,0,0
19,1,Unknown,0,42,0,3.0,0.0,1048,13,2,15,3,0,0
4,1,Unknown,0,4,0,7.0,0.0,1006,10,2,10,1,0,0
4,0,Unknown,0,22,0,1.0,0.0,1188,11,2,13,1,0,0
16,0,Unknown,2,0,0,-1.0,-1.0,1325,18,4,18,4,0,2
11,0,Unknown,0,0,0,-1.0,-1.0,814,9,5,23,4,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,872,1,3,8,1,0,0
10,1,In,2,0,0,-1.0,-1.0,812,17,0,9,4,0,2
19,0,Unknown,0,42,0,-1.0,-1.0,1085,18,0,21,6,0,0
4,0,Unknown,0,19,0,-1.0,-1.0,1050,17,0,18,5,0,0
19,1,Unknown,0,42,0,4.0,0.0,937,10,1,17,0,0,0
4,1,Unknown,0,22,0,56.0,0.0,1121,12,6,15,2,0,0
4,1,Unknown,0,19,0,38.0,0.0,1232,12,0,16,6,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1095,14,4,17,1,0,0
12,1,Unknown,0,42,0,-1.0,-1.0,1202,20,1,19,5,0,0
16,1,India,2,0,1,-1.0,-1.0,1301,18,0,19,2,0,2
20,1,Unknown,0,42,0,-1.0,-1.0,982,15,5,19,0,1,0
5,0,india,0,42,1,0.0,0.0,961,10,5,19,0,0,0
7,1,Unknown,0,42,0,-1.0,-1.0,812,17,0,9,3,0,0
5,1,IN,0,42,0,1.0,0.0,822,10,4,23,0,0,0
1,1,Unknown,0,42,0,-1.0,0.0,931,19,6,1,5,1,0
10,0,Unknown,0,10,0,-1.0,-1.0,811,11,1,2,4,0,0
19,1,Unknown,0,42,0,0.0,0.0,812,9,0,8,5,1,0
2,0,Unknown,0,22,0,-1.0,-1.0,1158,19,3,20,2,0,0
19,1,Unknown,0,19,0,4.0,10.0,1161,10,1,0,4,0,0
4,1,Unknown,0,19,0,8.0,0.0,1212,19,5,12,5,0,0
19,1,Unknown,0,42,0,0.0,0.0,1041,10,2,17,6,0,0
17,0,Unknown,0,22,0,4.0,0.0,1151,18,4,23,6,0,0
19,1,Unknown,0,22,0,0.0,0.0,1117,9,3,18,2,0,0
12,1,Unknown,0,42,0,-1.0,0.0,831,8,2,3,0,0,0
18,1,Unknown,0,13,0,-1.0,-1.0,1030,19,5,22,4,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1056,16,1,0,3,0,0
4,0,Unknown,0,19,0,-1.0,-1.0,977,15,3,19,2,0,0
16,1,India,2,0,1,-1.0,-1.0,1275,14,6,20,1,0,2
1,1,Unknown,2,42,0,-1.0,0.0,930,22,0,15,0,0,2
10,1,Unknown,2,42,0,-1.0,-1.0,803,18,1,20,3,1,2
0,0,Unknown,0,42,0,-1.0,0.0,859,21,1,21,2,0,0
2,1,India,2,13,1,-1.0,-1.0,947,12,5,20,2,0,2
1,1,Unknown,0,42,0,-1.0,-1.0,923,16,1,16,1,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,900,1,3,9,1,0,0
2,0,IN,0,22,0,113.0,0.0,854,13,0,19,1,0,0
19,1,Unknown,0,42,0,0.0,0.0,805,16,0,17,1,0,0
19,1,Unknown,0,42,0,-1.0,-1.0,1009,12,6,20,5,0,0
4,1,Unknown,0,6,0,8.0,0.0,1238,16,1,22,2,0,0
18,0,BR,0,42,0,-1.0,-1.0,864,2,4,4,2,0,0
19,1,Unknown,0,42,0,1.0,0.0,916,18,1,16,5,0,0
4,0,Unknown,0,19,0,2.0,0.0,1041,10,2,22,0,0,0
2,1,IN,0,19,0,-1.0,-1.0,846,16,1,0,5,0,0
5,0,india,0,42,1,0.0,0.0,961,9,5,19,0,0,0
18,0,Unknown,0,19,0,-1.0,-1.0,1226,21,5,23,2,0,0
1,1,Unknown,2,42,0,-1.0,-1.0,1015,8,0,18,0,0,2
1,1,Unknown,0,42,0,-1.0,-1.0,1209,17,2,14,2,0,0
14,0,Unknown,0,13,0,74.0,0.0,1024,9,5,9,0,0,0
19,1,Unknown,0,42,0,5.0,0.0,1007,14,1,10,5,0,0
17,0,Unknown,0,22,0,39.0,0.0,1056,12,1,19,3,0,0
1,1,Unknown,0,42,0,35.0,0.0,1159,11,3,9,3,0,0
1,1,india,0,42,1,77.0,0.0,953,10,6,1,5,0,0
4,0,Unknown,0,19,0,16.0,0.0,947,14,5,20,2,0,0
2,0,India,2,10,1,-1.0,-1.0,1273,15,1,15,1,0,2
15,1,Unknown,2,0,0,-1.0,-1.0,1078,11,0,20,1,0,2
4,0,Unknown,0,13,0,-1.0,-1.0,966,13,0,18,6,0,0
1,0,Unknown,0,10,0,-1.0,-1.0,1252,12,1,11,3,0,0
7,0,India,0,42,1,35.0,0.0,812,17,0,15,4,0,0
16,0,India,1,42,1,-1.0,-1.0,1339,11,5,11,5,0,1
19,1,Unknown,0,42,0,-1.0,0.0,805,16,0,13,1,0,0
19,1,IN,0,42,0,1.0,0.0,841,9,6,5,4,0,0
14,0,IN,0,10,0,5.0,20.0,953,9,6,12,4,0,0
19,1,Unknown,2,42,0,2.0,0.0,1001,9,0,16,3,0,2
19,1,Unknown,0,42,0,0.0,0.0,850,13,4,12,3,1,0
